,remark
450,阶段 长浮 下跌 25% 统计
451,估值 差距
452,节前 操作 只好 操作
453,优选
454,解释一下
455,怎么回事
456,解释 为啥 2.64% 个股 没跌 估值
457,解释一下
458,假期 累计 叹气
459,假期 累计 叹气
460,情况 估值 0.3 净值 2.6 解释
461,海康 威视 跌停 .% 拉低 亏损 2.64%
462,普涨 暴跌 两个 多点
463,分红 理解 原创
464,亏了 2.64% 个股
465,牛批
466,出气筒 玩气 韭菜
467,TM
468,失望
469,这是 随意 操纵
470,估值 净值 怎么回事
471,哥们 重仓 调仓 海康 威视
472,滴汗
473,情况
474,有没有 马后炮 上车
475,2022 巴菲特 股东大会 价值 投资 实战篇 真传 一句
476,海康 威视
477,大盘 向上 突破
478,能红
479,翻红 金牛 加油
480,财报 教学 系列 公司 股价 疲软 观察
481,海康 威视
482,希望
483,三问 25 感觉 痛苦 股市 段子 满天飞
484,长期 持有
485,分批 买入 只能 回撤
486,5.5 价位
487,开盘 不好 因素
488,参与 高质量 增长 评论 蓝牙 耳机 震荡
489,投资 赚大钱 概率 亏过 不学
490,习惯用语 计划 投入 一万元 三千元 轻仓 七千元
491,张总动 脑筋 承受 压力 近日 终于 扬眉
492,只基
493,收益
494,老谢 30
495,勇敢
496,加油 厉害
497,医疗 好惨 二十多 回本
498,回本
499,A股 休市 涨跌 这基
500,坚守 2017 年定 110011 周定 每周
501,5.24%
502,大盘 跌破 3000 亏了 方法 就够
503,坚定 长期 持有
504,2800 操作
505,投资 找对象 一个样 适合
506,右侧 奸笑
507,自信 牛人 以我为主 不调
508,垃圾 一年 收益
509,QDII OTCFUND 110011
510,为啥 买卖
511,为啥 停止 买入 卖出
512,图片
513,记吃 不记
514,希望 火腿肠 五一 回来 接力
515,卖出
516,发生
517,QDII OTCFUND 110011
518,眼一 起飞 大笑
519,卧槽 一根 天大 阳柱 云霄
520,今日 涨幅 可观 四大 利好 预期
521,月份 投资 定向 前瞻
522,混合型 证券 投资 2022 暂停
523,行情 走势图
524,人间 四月 芳菲尽 300 来到 11 区间 读张
525,更新 真慢
526,姿势 投资 原创
527,基友 投资 构建 体系 私人
528,今明两天 关闭
529,市场 下跌 血亏 此刻
530,辽港 股份 通裕 重工 涨停 20% 买进
531,为啥
532,简单 疫情 地缘 政治 打击 全球 经济
533,恢复
534,购买
535,暂停 滴汗
536,信号 仔细 动脑
537,腾讯 硬挺 早晚 三百 等着瞧
538,一颗 人参 旁边 一条 巨蟒 排除 巨蟒
539,1.5%
540,无招胜 有招
541,季报 出炉
542,这根 大阳线 反转 信号 反弹 大跌
543,概率 重点 板块
544,创新
545,熊市 之下 黄金 补仓 筹码 姿势 正确
546,基本面 量化 打底 量化 辅助 添翼 聚焦 高质量 企业
547,看着 110011 试水 基金净值 管理 持有 人数
548,26 各大 指数 午后 集体 走弱 今日 涨停 股炸板
549,回本
550,鼓掌
551,今晚 明天 白天 阴天 多云 局部 阵雨 气温 19
552,机构 两周 抄底 157 券商 医疗 爆买 食品饮料 份额
553,此前 押注 景气 赛道 集体 跌落 神坛
554,金鸡 马坤 一路 人收害 基民
555,市场 反弹 操作
556,表现 一看 股票 持仓 瞬间 明白
557,垃圾 暴雷 暴雷 反弹
558,闭关
559,上证指数 不出意外 关心 下滑 2800 区域
560,太迟
561,大盘 还会 2800 估计 中旬
562,2022 一季度 上证指数 3600 开盘 震荡 波动 最低
563,长期投资 笑话
564,正好 金融 资金 流动
565,四年 三年 负增长
566,一万元 亏了 3500
567,上证指数 20 六月 一号 有个 跳空 缺口 未补
568,二千 六百 是否是 低点 面临 考验
569,谢治宇 朱少醒 傅鹏博 啥时候 能见底
570,精准 抄底 很难 难度 系数 极高 择时
571,加仓 最低点
572,垃圾
573,天天 微跌 得意 得意 得意
574,上次 补仓
575,破基 亏惨
576,一月 一周 优秀 跌成 哪来
577,混合型 证券 投资 2022 28 日至 202
578,重仓 招行 周一
579,降准 今日 25 落地 央行 下调 金融机构 存款 准备金
580,阳光 总在 风雨 原创
581,成立 回报率 回报率 太低
582,闲钱 投资
583,混合型 证券 投资 2022 第一季度 报告
584,一招 可助 远离 中线 套牢 之苦 一只
585,但斌 风口 三季度 业绩 市场 双杀 低点
586,净值 大幅 回测 归于 市场 大跌 无能 无德 表现
587,十大 重仓股 一只 处于 20 复权 之上
588,2020 走滑 波路 回来 两块 回头 十块
589,限额 公司 设置
590,京东 港交所
591,想象 发生 痛苦 事情
592,一年 时间 净值 回测 35% 顶流
593,公墓 牛市 成绩 源于 幸运 熊市 成绩 真实
594,大笑
595,投资
596,正正 一周 绿绿的 发现 投资人 人会
597,大盘 震荡 机会 风险 抄底 需谨慎
598,不玩 房地产 指数 886
599,垃圾 精品
600,小明 早报 4.22 顶流 持仓 曝光 投资 常青
601,还好 没买 自选 没见 这鸡涨
602,规模 跌破 千亿 规模 下降 170 亿至 849
603,十大 持仓 不想 作业
604,30 个点 好意思
605,风口 吹起来
606,买入 第五 主动
607,调整 不见 行情 稳字
608,犊子
609,买基 中欧 医疗 易方
610,天天
611,去年 11 元时 逃顶 赎回 费用 分红 分红
612,没救
613,没救
614,崩溃
615,韭菜
616,空狗
617,手上 赚钱 008088
618,重仓 看似 龙头 压中
619,10 账户
620,天天 厉害 抱拳
621,行情 走势图
622,持仓 两年 亏了 28% 解释
623,基友 帮忙
624,看好 长期 行情 不好 加油
625,看好 公墓 低位 买入 底仓
626,观点 发过
627,随便 麻木
628,跌麻 A股 创业板 罕见 暴跌 地产
629,地产 回调 上车 好时机
630,朋友 地产 回调 转去 008088
631,超跌 十倍 市盈 小盘 绩优 低估
632,可怜
633,一句 低于 跌幅 超过 1.5%
634,腰斩 厉害
635,星期五 主动 赎回 星期二 显示 失败
636,一百 奸笑
637,形势 投资 牢记 三点
638,阴跌
639,最惨
640,乐观 投资 原创
641,百分之 60
642,地产 反弹 迹象
643,房地产 指数 不行 市场 萎靡
644,垃圾
645,有没有
646,天天 下跌
647,透了心 大哭
648,不愧
649,五大 理由 五大 技术
650,艰难 行情 投资者 试金石 橡树 资本 主席
651,降准 做好
652,腰斩
653,10 理由 更新
654,招行 交银 卖不掉
655,指望 这鸡 涨点 指望 房地产 指数
656,真服了 鼓吹 长期 持有
657,布局 增长 主线 有没有 房地产 指数
658,信息 年报 摘录
659,招商
660,A股 三大 指数 走势 分化 创业板 指涨 1% 金融 地产
661,几号 停购 告诉 微笑
662,赎回
663,给定
664,图片
665,不涨 高手
666,投资 鸡蛋 放在 篮子
667,中信 建投 策略 静待 底部 构筑 短期 挑战
668,资金 流向 连续性 医药 生物 环保 社会 服务
669,投资 心理 畅谈 原创
670,乌之战 A股 影响 原创
671,16 消息面 一览 历史 上降 准后 大盘
672,耐住 黑暗 盼来 光明 原创
673,三分之一 巴德
674,实战经验 智能 模型 高质量 增长 量化
675,一分钟 快速
676,德讯 证顾 短期 获利 回吐 尾声 下周 反弹
677,房地产 指数
678,房地产 连涨
679,这鸡
680,限购
681,下午 按计划 执行
682,持续 加仓
683,赎回
684,有方 工薪 一族 选择
685,八块 持有 两年 五万多 有没有 回本
686,收益
687,停卖 状况
688,0.06 情况
689,这鸡 不准 申购
690,宣传 年化 15% 半年 20% 宣传
691,随缘 关心 房地产 希望
692,局势
693,开放
694,幸好 止盈 房地产 指数 寂寞
695,分钟 量化
696,暴跌 越来越 乐观
697,姜诚 运气 不错 徐彦 少女 少男 邬传雁
698,一句 说会涨 15 10
699,房地产 上涨 趋势
700,打分 创业板 医疗 证券 操作 建议
701,双碳 目标 之下 绿色 转型 大势所趋 去年
702,双碳 目标 之下 绿色 转型 大势所趋 去年
703,涨不动 卖不卖
704,新闻 股神 搭档 芒格 刚割 阿里
705,何崇恺 军工 板块 景气 扩散 具备 更高 投资性
706,小明 早报 4.13 ETF 资金 青睐 多只 公募
707,11 收盘 恒生指数 21208.301 663.71
708,失望
709,坤哥 眼光 长远 十五年 年会 高收
710,韭菜 专心 工作 租房子 关灯 吃面
711,踏实
712,太拉 房地产
713,开盘 我觉 不动 拜神 拜神 拜神
714,多久 长期 持有
715,难受
716,长期 持有
717,混合型 证券 投资 2022 15 日至 202
718,割肉
719,盈利 三十多 二十多 回辙
720,真的 好无语
721,投资 价值 股票 仅仅只是 博弈 筹码 工具
722,形与影 故事 构建 投资 体系
723,初估 未来 超出 半月 下期
724,收割
725,11 消息面 一览 上周 外资 逆势 加仓 板块
726,为啥
727,新低
728,季报
729,股票投资 投资 差别 搞清楚
730,利润 回吐
731,年化 17% 股神 巴菲特
732,信任
733,历史 罕见 基民 市场 嗅觉 灵敏
734,周五 神秘 资金 抄底
735,下跌 不忍
736,疫情 反复 工作 投资 不确定性 转化 确定性
737,想着 市场
738,持有 亏越 心累
739,震荡 行情 资产 配置 少亏 赚钱
740,不可思议
741,意外
742,惊喜
743,前两天 持仓 全是
744,本质
745,31 贵州 茅台 1788.670 69.67 4.05% 600519
746,阿坤换 板块 倒数 几名 水平 副总裁
747,偷吃 0.89
748,赎回
749,韭菜 基民 测试 题目 一万元
750,管理 情绪 听话
751,长期 持有
752,消息面 一览 比亚迪 停止 燃油 汽车 整车 生产
753,收益
754,这支 小盘
755,过往 成功 未来 成功
756,消息面 一览 投资 地产 煤炭 农林牧渔
757,判断 失误 建仓 高位 接盘
758,持有 一年
759,周三 暴涨 难筹 各进 玩玩
760,好像 没涨
761,失望
762,32.05 发图
763,这下 名字 排名 不佳
764,公募 20 20 董承非 出走 公募 首次 亮相
765,怎么回事 昨天 持仓 有没有 昨天
766,QDII 110011 去年 12 31
767,眼睁睁 看着 10 元多
768,专家 投资 建议 千万 资产 投资 核心
769,啥时候 开放 申购
770,坤哥 风格 大涨
771,此基能 灵活 调仓换 开年 地产股
772,QDII OTCFUND 110011 京东 大裁
773,请问 好久 赎回
774,发布 收益 2021 19 购买
775,为啥 申购
776,打着 价值 投资 旗号 抱团 坐庄 伎俩
777,先骂
778,操作 股票
779,价格 个股 绩优股 低价股 垃圾股
780,买入
781,价格 个股 绩优股 低价股 垃圾股
782,一段时间 对劲儿
783,形与影 故事 构建 投资 体系
784,操作 策略 减仓
785,自购 看好
786,十大 重仓 一看 不准 零点 十大 重仓
787,板块 受挫 加仓 割肉
788,QDII OTCFUND 110011
789,亲戚 12 房子 动迁 一百万 经涨
790,战略 战术思维 投资 清晰
791,去年
792,成王败寇 好听 最终
793,关闭 滴汗
794,闹心
795,卖出 提示
796,卖不出去
797,提示
798,取消
799,为啥 申购
800,昨天 公布 第一 重仓股 邮储 银行 第二 腾讯 控股
801,持仓 肯定 准确
802,为啥 暂停 申购 赎回
803,早就 调仓
804,涨回来
805,买卖
806,酒桶 好喝
807,财经 晨信 31
808,涨涨跌跌
809,停止 买卖
810,新一轮 暂停 申购 赎回
811,两天 看着 支棱
812,去年 收益率 4% 30% 投资 方向
813,持仓
814,行情 走势图
815,地位 股票 高位 回本
816,谢治宇 最新 交流 企业 变得 值得 下手 拥抱
817,石锋 资产 崔红建 市场 寻底 时间 耐心 等待
818,连续 三年 成绩 确实 只能 平庸 没顶 默默
819,跟前 几天 持仓
820,净值 估算
821,泡泡 玛特
822,垃圾 留下 发财
823,垃圾 垃圾 垃圾
824,两个 贵州 茅台
825,每日 点评 30
826,请问 最新 持仓 概有 区别
827,牛市 空仓 熊市 满仓 哪种 痛苦 ## 收益 闲钱
828,清明节 假期 安排 开市 休市
829,不想
830,恒生 科技 指数 反弹 几个 起步
831,年报 重仓股 app 支付宝 同花顺
832,操作 策略 操作
833,操作 持有 股全 垃圾
834,HK
835,持仓 三次
836,发生
837,历害 明星 四十 点多
838,关键 调出 第一重 邮政 银行
839,10 块钱 成本 回去
840,干爆 长期 持有 天天 捂脸
841,乱选 行不行 不行 滚蛋
842,财经 晨信 30
843,混合型 证券 投资 2021 年度报告
844,25 理财 攻略 赎回 黄金 港基 消费
845,算少
846,起飞
847,华夏银行 20 资产 股价 几十元 资产 170
848,起飞
849,每日 点评 29
850,回到 解放前 节奏
851,忍着 利润 回吐 不看
852,破烂 劳资 亏损 20%
853,大火 恒生 科技
854,打电话 确认 回复 七年 时间
855,阿坤 调仓 两个 一条
856,sb 操盘
857,收益
858,两元 小时候 这张 两元 东西
859,幸亏 去年 阿坤 水平 赶上 挣钱
860,抄底
861,内卷 外患 暴跌 三月 兵败如山倒 主力
862,寂寞
863,市场 参与者 超级 英雄
864,成绩 天天 无能 一点 风控
865,一年 三十六点 随便 雇人 不过如此
866,发帖 时止 暂时 领涨 三只 截图 所示
867,鸡血 回光返照 两天 无力回天
868,消费 依然 未来 主题 循环 动力 不涨
869,股价 七年 垃了 二十倍 业绩 七年 增长 1.4
870,太难
871,回辙 尚可 标的
872,天天
873,混合型 证券 投资 2022 31 日至 202
874,财经 晨信 28
875,上星期
876,终将 美好
877,行情 走势图
878,2022.3 25 指数 估值 播报 利用 螺丝钉 星级
879,2021 下半年 每月 购买
880,加油
881,子弹 有色 下周 几天 开挂
882,坤儿 加油
883,副总裁 副总裁 水平
884,倒数 第一 厉害
885,课堂
886,加仓 时机 重仓 三年 三年 收钱
887,天下第一 韭菜 昨天 割肉
888,这基 配置 公司 前十 持股
889,一帮 摆设
890,能涨 不加 大哭
891,QDII OTCFUND 110011
892,张头 葛兰 买酒 没用 抛售
893,有方 --- 新一代 年轻人 投资 通用 方案
894,环境 世界 不安
895,江山 代有 人才 成王败寇
896,垃圾
897,足足 一年 越亏
898,恶心 金牛 买回来
899,调仓 能力
900,QDII OTCFUND 110011
901,这支 节操
902,公司 自购 限购 万元
903,QDII OTCFUND 110011
904,脑子 有病
905,动态 报告 发帖 时止 欧洲 指数 状况 截图 所示
906,逆势上涨 资源
907,重仓 银行 银行 指数 涨跌 高度 相关
908,投资 价值 股市 故事
909,牛市 空仓 熊市 满仓 哪种 痛苦 ## 收益
910,下午 拉红
911,手续费
912,怀揣 梦想 买基 冬瓜 马铃薯 鳄鱼 亏成 壁虎
913,坤哥
914,满仓 亏损 20%
915,公开 资讯 腾讯 2021 净利润 2248.2 亿元 同比 增长
916,真棒
917,预计 长期 跟定
918,明天 估计 回本瑶瑶 无期
919,个点
920,历史 增强 信心
921,葛兰 胜过
922,五粮液 不景气 拖后腿
923,酒坛子
924,不出意外 惊喜
925,涨得 对冲 滴汗
926,首批 只公募 REITS 正式 上市 后续 关注 哪些项目
927,良心 真够 义气 几年 跟定
